Division,School,Location,Ensemble Visual,Field Music,Ensemble Music,Overall Effect - Visual,Overall Effect - Music,Total,Auxiliary
Independence A,Donegal HS,"Mount Joy, PA",15.21 1,13.81 1,14.55 1,14.88 1,14.15 1,72.600 1,152.60 1
Independence A,Columbia Borough,"Columbia, PA",12.67 4,13.74 3,13.35 2,13.13 3,13.07 3,65.960 2,133.40 4
Independence A,Susquehanna Township,"Harrisburg, PA",13.34 2,13.75 2,12.69 3,13.28 2,12.88 4,65.940 3,139.40 3
Independence A,Bishop McDevitt,"Harrisburg, PA",13.14 3,12.88 4,12.61 4,13.08 4,13.08 2,64.790 4,142.60 2
American A,Pottsgrove,"Pottstown, PA",15.41 1,14.21 1,15.55 1,15.47 1,15.34 1,75.980 1,158.70 1
American A,Big Spring,"Newville, PA",15.07 2,13.74 2,15.35 3,14.74 2,14.74 2,73.640 2,150.80 2
American A,Middletown Area,"Middletown, PA",14.47 3,13.68 3,15.36 2,14.21 3,14.42 3,72.140 3,135.40 3
Liberty A,Conrad Weiser,"Robesonia, PA",15.08 2,14.41 1,16.28 3,15.28 2,16.14 1,77.190 1,148.60 2
Liberty A,Eastern York,"Wrightsville, PA",14.81 3,14.34 2,16.61 1,14.94 3,15.74 2,76.440 2,148.10 3
Liberty A,Greencastle-Antrim,"Greencastle, PA",15.75 1,13.21 5,15.75 5,15.68 1,15.28 3,75.670 3,158.10 1
Liberty A,Governor Mifflin High School,"Shillington, PA",14.01 4,14.14 3,15.81 4,14.34 4,14.75 4,73.050 4,131.40 5
Liberty A,Conestoga Valley,"Lancaster, PA",13.61 5,13.74 4,16.34 2,13.94 5,14.60 5,72.230 5,134.60 4
Yankee A,South Western,"Hanover, PA",15.82 1,13.81 2,15.62 1,15.69 1,15.34 1,76.280 1,147.90 2
Yankee A,Manheim Central,"Manheim, PA",15.74 2,14.08 1,15.15 2,15.61 2,14.88 2,75.460 2,150.60 1
Liberty Open,Penn Manor,"Millersville, PA",16.00 1,14.70 1,16.50 1,16.00 1,16.00 1,79.200 1,148.00 1
Yankee Open,Warwick,"Lititz, PA",16.30 1,14.80 1,16.80 1,16.50 1,16.30 1,80.700 1,144.00 1
Patriot Open,Nazareth Area,"Bethlehem, PA",15.70 1,15.00 1,16.70 1,15.90 1,16.50 1,79.800 1,146.00 1
Exhebition,Hempfield,"Landisville, PA",16.10 1,14.80 1,16.90 1,16.40 1,16.20 1,80.400 1,143.00 1
Liberty Open,Susquehannock,"Glen Rock, PA",14.90 2,15.90 2,16.10 1,15.20 2,16.50 1,78.600 1,148.50 2
Liberty Open,New Oxford,"New Oxford, PA",15.20 1,16.50 1,15.60 3,15.50 1,15.60 3,78.400 2,151.00 1
Liberty Open,Penn Manor,"Millersville, PA",13.90 3,15.60 3,15.80 2,14.20 3,16.10 2,75.600 3,147.00 3
Yankee Open,West Shore,"Lewisberry, PA",16.30 1,16.40 1,16.40 1,15.00 1,16.80 1,80.900 1,165.00 1
Yankee A,Red Lion Area,"Red Lion, PA",15.68 1,15.21 1,15.28 1,13.95 1,15.41 1,75.530 1,146.10 1
Patriot A,Cedar Crest,"Lebanon, PA",16.21 1,15.94 1,15.81 1,15.21 1,15.81 1,78.980 1,160.70 2
Patriot A,Cumberland Valley,"Mechanicsburg, PA",14.01 2,15.61 2,14.48 2,14.41 2,14.21 2,72.720 2,163.45 1
American A,York Catholic,"York, PA",14.41 1,15.01 1,14.21 1,13.73 1,14.55 1,71.910 1,147.75 1
Liberty A,Eastern York,"Wrightsville, PA",14.21 1,16.21 1,15.08 1,14.81 1,16.41 1,76.720 1,147.75 1
Exhebition,Conestoga Valley,"Lancaster, PA",14.61 1,16.01 1,15.88 1,14.61 1,15.68 1,76.790 1,152.10 1
American Open,Williamsport Area,"Williamsport, PA",15.50 1,15.60 1,15.80 1,15.40 1,15.70 1,78.000 1,134.00 1
Yankee A,Berwick Area,"Berwick, PA",14.48 1,14.88 1,14.61 1,14.61 1,14.21 1,72.790 1,126.70 1
Liberty A,Bloomsburg Area,"Bloomsburg, PA",14.94 1,15.08 1,15.01 1,15.21 1,15.01 1,75.250 1,129.40 1
American A,Loyalsock Township,"Williamsport, PA",15.94 2,15.21 1,15.54 1,15.68 1,15.28 1,77.650 1,160.70 1
American A,Shikellamy,"Sunbury, PA",16.14 1,14.61 2,14.81 3,15.28 2,15.16 2,76.000 2,146.70 2
American A,Pittston Area,"Yatesville, PA",15.14 3,13.88 3,15.01 2,15.01 3,14.41 3,73.450 3,130.70 3
American A,Williamson,"Tioga, PA",13.94 4,13.22 4,13.94 4,14.21 4,13.81 4,69.120 4,124.70 4
Exhebition,Shamokin Area,"Coal Township, PA",15.67 1,14.81 1,14.61 1,14.61 1,15.36 1,75.060 1,142.70 1
American A,Pottsgrove,"Pottstown, PA",15.08 1,15.075 1,15.94 1,15.54 1,14.21 1,75.845 1,158.10 1
Liberty A,Abington,"Abington, PA",14.41 1,14.875 1,15.14 1,14.61 1,14.61 1,73.645 1,161.50 1
Patriot A,Pennsbury,"Fairless Hills, PA",15.07 1,15.345 1,15.61 1,14.41 1,15.08 1,75.515 1,148.80 1
Liberty Open,Phoenixville,"Phoenixville, PA",15.90 1,15.70 1,15.80 1,15.80 1,15.60 1,78.800 1,153.00 1
